Time ,Time (s),Force (N),Load Cell,Pre Time (s),Time (s),Force (N),Instron,,,
49:49,73.00,406,,32.678,25.33,175.9179,,,,
49:50,74.00,424.7,,32.782,25.434,170.8797,,,,
49:50,74.00,440.5,,32.942,25.594,165.7769,,,,
49:51,75.00,449.8,,33.1,25.752,160.741,,,,
49:51,75.00,431.6,,33.264,25.916,155.7266,,,,
49:52,76.00,411.9,,33.418,26.07,150.7191,,,,
49:52,76.00,395.8,,33.562,26.214,145.7156,,,,
49:53,77.00,376.5,,33.68,26.332,140.67,,,,
49:53,77.00,360.1,,33.86,26.512,135.6568,,,,
49:54,78.00,341.1,,34.002,26.654,130.5592,,,,
49:54,78.00,324.8,,34.166,26.818,125.5588,,,,
49:55,79.00,305.5,,34.314,26.966,120.5127,,,,
49:55,79.00,289.8,,34.456,27.108,115.4993,,,,
49:56,80.00,270.5,,34.646,27.298,110.4757,,,,
49:56,80.00,254.6,,34.746,27.398,105.4706,,,,
49:57,81.00,235.4,,34.934,27.586,100.4319,,,,
49:57,81.00,216.7,,35.074,27.726,95.4314,,,,
49:58,82.00,201,,35.25,27.902,90.4187,,,,
49:58,82.00,182.1,,35.426,28.078,85.3749,,,,
49:59,83.00,166.8,,35.58,28.232,80.3054,,,,
49:59,83.00,148.3,,35.76,28.412,75.2789,,,,
50:00,84.00,133,,35.912,28.564,70.2523,,,,
50:00,84.00,114.9,,36.108,28.76,65.2277,,,,
50:01,85.00,100.4,,36.278,28.93,60.2238,,,,
50:01,85.00,83.5,,36.448,29.1,55.207,,,,
50:02,86.00,69.7,,36.628,29.28,50.1876,,,,
50:02,86.00,54.4,,36.822,29.474,45.1758,,,,
50:03,87.00,41.8,,37.002,29.654,40.1311,,,,
50:03,87.00,26.6,,37.19,29.842,35.097,,,,
50:04,88.00,14,,37.35,30.002,30.0657,,,,
50:04,88.00,7.7,,37.538,30.19,25.0332,,,,
50:05,89.00,23.3,,37.72,30.372,20.0263,,,,
50:05,89.00,40.4,,37.902,30.554,15.0042,,,,
50:06,90.00,54.5,,38.088,30.74,9.9284,,,,
50:06,90.00,71.5,,38.264,30.916,4.9405,,,,
50:07,91.00,85.5,,38.266,30.918,4.858,,,,
50:07,91.00,102.9,,38.338,30.99,3.2111,,,,
50:08,92.00,117.4,,38.576,31.228,8.2469,,,,
50:08,92.00,134.9,,38.72,31.372,13.2975,,,,
50:09,93.00,149.7,,38.864,31.516,18.3261,,,,
50:09,93.00,167.4,,39.04,31.692,23.4257,,,,
50:10,94.00,182.3,,39.196,31.848,28.4725,,,,
